	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_3806	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	
OTU_3807	Bacteria	NB1-j					
OTU_3808	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Candidatus Latescibacter	
OTU_3809	Bacteria	Latescibacterota					
OTU_3810	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae		
OTU_3811	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_3812	Bacteria	Acidobacteriota	Acidobacteria group 22				
OTU_3813	Bacteria	Planctomycetota	OM190				
OTU_3814	Bacteria	Planctomycetota	Pla3 lineage				
OTU_3815	Bacteria	Planctomycetota	OM190				
OTU_3816	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group	
OTU_3817	Bacteria	Acidobacteriota	Acidobacteria group 22				
OTU_3818	Bacteria	Zixibacteria					
OTU_3819	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales			
OTU_3820	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae		
OTU_3821	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales			
OTU_3822	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU_3823	Bacteria	Planctomycetota	Pla4 lineage				
OTU_3824	Bacteria	Planctomycetota	Pla4 lineage				
OTU_3825	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae		
OTU_3826	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	
OTU_3827	Archaea	Thermoplasmatota	Thermoplasmata				
OTU_3828	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae		
OTU_3829	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales			
OTU_3830	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae		
OTU_3831	Bacteria	Zixibacteria					
OTU_3832	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
OTU_3833	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36			
OTU_3834	Bacteria	Deferrisomatota	Defferrisomatia	Defferrisomatales	Defferrisomataceae	Deferrisoma	
OTU_3835	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	
OTU_3836	Bacteria	Acidobacteriota	AT-s3-28				
OTU_3837	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2		
OTU_3838	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2		
OTU_3839	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae		
OTU_3840	Bacteria	Acidobacteriota	AT-s3-28				
OTU_3841	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4		
OTU_3842	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales			
